molecule,init_idx,gemnet_dT_traj0_energy,gemnet_dT_trajN_energy,gemnet_dT_energy_off_by_meV,gemnet_T_traj0_energy,gemnet_T_trajN_energy,gemnet_T_energy_off_by_meV
C16H24,910,-16994.965691294303,-16988.766528473123,6199.162821179925,-16994.965691294303,-16994.24701661239,718.6746819133987
F2C6H4,2014,-11727.457120211024,-11727.603197879354,-146.07766833069036,-11727.457120211024,-11727.69504452572,-237.92431469701114
NC5H5,2060,-6759.768363038055,-6760.209035582226,-440.67254417041113,-6759.768363038055,-6760.129123912825,-360.7608747697668
O2C9H6,2513,-13531.945919702794,-13531.469795743342,476.1239594517974,-13531.945919702794,-13531.723544622191,222.37508060243272
N2F4C8,2886,-22155.20406908426,-22155.137717074365,66.3520098933077,-22155.20406908426,-22155.040464200898,163.60488336067647
F8C12,3307,-34197.626718105166,-34196.68590564379,940.8124613764812,-34197.626718105166,-34197.4159910778,210.7270273627364
C2H2,3573,-2105.567380200731,-2105.5487821565994,18.59804413152233,-2105.567380200731,-2105.625420649206,-58.04044847491241
Cl2CH2,6202,-26119.02972957803,-26119.03345615935,-3.726581322553102,-26119.02972957803,-26119.026098449773,3.631128256529337
Cl6C6,7738,-81372.20816708777,-81372.08197869574,126.1883920233231,-81372.20816708777,-81372.00317776269,204.98932508053258
C6H6,8539,-6324.019941526906,-6323.766830538224,253.1109886822378,-6324.019941526906,-6323.840617536537,179.32399036908464
C4H6,9102,-4247.072829969585,-4246.715909477233,356.9204923514917,-4247.072829969585,-4246.837824256077,235.00571350814425
BrC6H5,9803,-76353.62095050143,-76353.74914651371,-128.196012286935,-76353.62095050143,-76353.7683887281,-147.43822667514905
FC6H5,10844,-9025.986080095898,-9025.8316384547,154.44164119799098,-9025.986080095898,-9025.817721215031,168.35888086643536
F3C6H3,10924,-14430.201844521327,-14430.073795792234,128.0487290932797,-14430.201844521327,-14430.204186778199,-2.342256871997961
F4I2C6,12131,-33304.85667527489,-33303.93184703647,924.828238421469,-33304.85667527489,-33305.133309253026,-276.6339781373972
C3H8,14747,-3243.803194833781,-3243.546296063726,256.8987700551588,-3243.803194833781,-3243.648165828779,155.02900500223404
C4NH5,15094,-5722.848494094277,-5722.57966501058,268.8290836968008,-5722.848494094277,-5722.769565282695,78.92881158204545
F6C6,19508,-22534.756342070123,-22534.704288312572,52.053757550311275,-22534.756342070123,-22534.99227884295,-235.93677282769931
C16H12,24024,-16796.9511117128,-16796.291570368736,659.5413440627453,-16796.9511117128,-16796.57882900109,372.2827117089764
ClC6H5,27561,-18832.067254667494,-18831.949657206173,117.59746132156579,-18832.067254667494,-18831.857400675017,209.8539924772922
OC12H8,30676,-14629.973355715734,-14628.328591374213,1644.7643415212951,-14629.973355715734,-14629.801882334361,171.47338137328916
Br4C2,37758,-282259.8675981438,-282258.8213471299,1046.2510139332153,-282259.8675981438,-282259.8641182545,3.4798893029801548
C2H4,39719,-2139.504482252323,-2139.67700334154,-172.5210892168434,-2139.504482252323,-2139.69572167885,-191.2394265268631
NC13H7,43011,-15094.45355881448,-15094.12171151868,331.84729580170824,-15094.45355881448,-15094.35995120865,93.60760583149386
Cl5C6H,49489,-68863.76618362768,-68863.8596740583,-93.49043061956763,-68863.76618362768,-68863.8400285864,-73.84495872247498
