molecule,init_idx,gemnet_traj0_energy,gemnet_trajN_energy,gemnet_energy_off_by_meV,maceoff_traj0_energy,maceoff_trajN_energy,maceoff_energy_off_by_meV
F2C4H8,12282,-9718.79323022189,-9718.655769702023,137.46051986709062,-9718.79323022189,-9718.448433333251,344.7968886393937
NCH5,12697,-2610.000008930379,-2609.934701153058,65.3077773208679,-2610.000008930379,-2609.854042998237,145.9659321417348
F2C2H4,13123,-7577.840420171723,-7577.807497797792,32.92237393088726,-7577.840420171723,-7577.729925077922,110.49509380063682
OC8H10,13273,-10511.537347343792,-10511.545330517016,-7.9831732236925745,-10511.537347343792,-10511.712063720524,-174.71637673224905
Cl3CH,13748,-38626.88440528391,-38626.85684532094,27.559962974919472,-38626.88440528391,-38626.860171587374,24.233696538431104
NC9H13,14201,-11039.459242054134,-11039.619250904576,-160.00885044195456,-11039.459242054134,-11039.569971484205,-110.72943007093272
C3H8,14747,-3243.803194833781,-3243.7493019697595,53.89286402169091,-3243.803194833781,-3243.566464353124,236.73048065711555
C4NH5,15094,-5722.848494094277,-5722.747962555761,100.53153851640673,-5722.848494094277,-5722.711266999671,137.22709460580518
O3C5H4,15670,-11397.571615443889,-11397.437849679387,133.7657645017316,-11397.571615443889,-11397.521403126864,50.212317024488584
F6N4C4,15899,-26422.64672845796,-26422.68854651541,-41.81805744883604,-26422.64672845796,-26422.60412499258,42.60346537921578
SH2,16542,-10869.578166056757,-10869.53619955507,41.966501687056734,-10869.578166056757,-10869.565016162496,13.149894261005102
FC4H9,17181,-7016.268173650702,-7016.086278336575,181.8953141273596,-7016.268173650702,-7016.107914897862,160.25875283958158
OC6H6,17262,-8371.365735192749,-8371.674925042174,-309.1898494258203,-8371.365735192749,-8371.754220936971,-388.4857442226348
OC3H6,17998,-5258.849467357415,-5258.790721736147,58.74562126791716,-5258.849467357415,-5259.087714686454,-238.24732903904078
OC4H8,19073,-6329.45419736946,-6329.536486636152,-82.289266691987,-6329.45419736946,-6329.399965632164,54.231737296504434
Br6C2,19090,-422352.5846171487,-422352.57816968515,6.447463529184461,-422352.5846171487,-422352.57720390835,7.413240324240178
F6C6,19508,-22534.756342070123,-22534.748889252878,7.452817244484322,-22534.756342070123,-22534.801966176852,-45.62410672951955
NSC6H9,20040,-18700.71192327518,-18700.749417472263,-37.49419708401547,-18700.71192327518,-18700.67192876583,39.9945093486167
I2C2H4,22184,-18347.027361870052,-18347.060296236876,-32.93436682361062,-18347.027361870052,-18346.998447869777,28.914000275108265
F2CH2,22366,-6506.969572337423,-6507.1466625338135,-177.0901963900542,-6506.969572337423,-6507.093239707899,-123.66737047523202
I2CH2,24309,-17276.455779128362,-17276.406216469535,49.5626588271989,-17276.455779128362,-17276.42753895831,28.2401700533228
C15H26,24421,-15987.936294867219,-15988.189955051252,-253.660184032924,-15987.936294867219,-15988.342221726833,-405.9268596138281
SCH4,24447,-11939.874745138677,-11939.882158775006,-7.413636329147266,-11939.874745138677,-11939.81036342008,64.3817185973603
C21H12,24931,-21985.90373962355,-21985.649540344293,254.19927925759112,-21985.90373962355,-21986.280922223617,-377.18260006658966
ClC6H5,27561,-18832.067254667494,-18831.900136801924,167.11786557061714,-18832.067254667494,-18831.91491518262,152.33948487366433
OC5H10,29626,-7399.629210475344,-7399.810062427456,-180.85195211187965,-7399.629210475344,-7399.733805523187,-104.59504784284945
C12H22,31766,-12810.12677615241,-12810.283004670711,-156.22851830084983,-12810.12677615241,-12810.510530426436,-383.75427402570494
NC4H7,32406,-5755.8011467502065,-5755.596103122984,205.043627222949,-5755.8011467502065,-5755.469347672268,331.7990779387401
Br4C2,37758,-282259.8675981438,-282259.99193122156,-124.3330777506344,-282259.8675981438,-282259.8142941003,53.30404354026541
Cl8C8,38221,-108495.47514162013,-108495.37365347323,101.48814690182917,-108495.47514162013,-108495.38223361396,92.90800617600325
ClC7H9,39503,-19932.43315620826,-19932.18183453061,251.32167764968472,-19932.43315620826,-19932.215899528863,217.25667939608684
C2H4,39719,-2139.504482252323,-2139.6945290532067,-190.04680088346504,-2139.504482252323,-2139.5179736449236,-13.49139260037191
F3C3H5,43558,-11350.714928529473,-11350.879727556352,-164.79902687933645,-11350.714928529473,-11350.68596341169,28.965117782718153
C22H16,44700,-23088.4184232457,-23088.503705567662,-85.28232196113095,-23088.4184232457,-23088.812266903005,-393.8436573043873
Cl5C6H,49489,-68863.76618362768,-68863.89290325207,-126.71962438616902,-68863.76618362768,-68863.79797688495,-31.793257265235297
F20C12,49660,-66821.93176180706,-66821.58662667016,345.13513690035325,-66821.93176180706,-66821.448495384,483.2664230634691
