Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3987       0.3502       0.0485   375.3
0.8000           0.3934       0.2733       0.1201   929.1
1.6000           0.3937       0.2866       0.1071   828.4
2.4000           0.3949       0.2875       0.1074   830.9
3.2000           0.3931       0.2586       0.1345  1040.3
4.0000           0.3914       0.2502       0.1412  1092.4
4.8000           0.3923       0.2607       0.1316  1018.5
5.6000           0.3998       0.2480       0.1518  1174.3
6.4000           0.3981       0.2457       0.1524  1178.7
7.2000           3.1473       1.0498       2.0975  16227.4
8.0000           3.1439       0.8618       2.2821  17655.2
8.8000         150.1850       1.4625     148.7225  1150569.2
9.6000         148.7939       1.6822     147.1117  1138107.0
10.4000        149.8484       1.9639     147.8844  1144085.3
11.2000        217.4809       2.6054     214.8755  1662351.5
12.0000        298.7269       3.2941     295.4328  2285571.0
12.8000        335.1759       2.9769     332.1990  2570007.2
13.6000        390.8763       3.2648     387.6116  2998698.0
14.4000        414.8767       3.2936     411.5831  3184149.9
15.2000        378.5430       3.2433     375.2997  2903449.3
16.0000        378.6662       3.5955     375.0708  2901677.9
