Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3816       0.3502       0.0313   242.5
0.7500           0.3778       0.2660       0.1118   864.9
1.5000           0.3842       0.2386       0.1456  1126.2
2.2500           0.3894       0.2388       0.1506  1165.1
3.0000           0.3887       0.2310       0.1577  1219.7
3.7500           0.4056       0.2912       0.1144   884.7
4.5000           0.4101       0.2678       0.1424  1101.3
5.2500           0.4102       0.2774       0.1328  1027.3
6.0000           0.4085       0.2557       0.1527  1181.7
6.7500           0.4130       0.2658       0.1473  1139.4
7.5000           0.4145       0.2851       0.1294  1001.1
8.2500           0.4119       0.2886       0.1233   953.9
9.0000           0.5166       0.3510       0.1656  1281.0
9.7500           1.0918       0.7262       0.3656  2828.7
10.5000          1.0922       0.7196       0.3726  2882.6
11.2500          1.1280       0.7128       0.4152  3212.1
12.0000          2.6850       1.1297       1.5553  12032.4
12.7500         37.8732       1.4339      36.4393  281907.3
13.5000         30.0748       1.3388      28.7359  222311.2
14.2500         41.2526       2.0416      39.2111  303350.3
15.0000         40.7516       2.0305      38.7212  299560.4
