Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3882       0.3502       0.0380   294.0
1.0000           0.3862       0.2579       0.1284   993.3
2.0000           0.3860       0.2451       0.1409  1090.2
3.0000           0.3860       0.2610       0.1250   967.0
4.0000           0.3857       0.2420       0.1438  1112.2
5.0000           0.3857       0.2553       0.1304  1008.5
6.0000           0.3852       0.2368       0.1484  1147.9
7.0000           0.3859       0.2430       0.1429  1105.3
8.0000           0.3861       0.2712       0.1149   889.1
9.0000           0.3864       0.2710       0.1154   892.7
10.0000          0.3865       0.2771       0.1095   846.8
