molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
O2C3H6OH2,45000,-9387.472402270212,0.6764882889325234,-9387.518719629557,0.7658537680957295,43.04811981855905
C5H12C5H12,19312,-10769.284443177401,1.3869990371415284,-10768.986701790964,1.102825487109871,13.567836406558342
OCH4OH2,21979,-5232.038055734068,0.47116734930496706,-5231.997225729423,0.4325936579901925,2.2563133295920856
NC4H11OH2,37826,-7901.918560699484,0.8676315033269025,-7901.643517807352,0.6058737180913686,13.285106896818832
F2C2H4OC6H6,36980,-15950.164568932718,0.8917788570528707,-15949.738201309909,0.45609856377510616,-9.312670469101004
OCNH3OH2,21113,-6707.525127937876,0.47116734930496706,-6707.464896619261,0.44024527391084867,29.309243220989156
O2C3H6O2C3H6,18282,-14615.45041124021,0.9327925183211246,-14615.705380083145,1.2226415526368348,34.88019138009435
ClCH3OH2,44819,-15692.10255379758,0.3772075200336526,-15692.121655162071,0.41563426622105365,19.325381696444765
O2C2H4OH2,18514,-8318.105647690803,0.5422428000137463,-8317.977468616977,0.4233086579479594,9.244931760867825
C4H10FC2H5,3467,-9189.901692100715,0.9327925183211246,-9189.566842666643,0.5861953670343047,-11.747717215743304
CH4OH2,4220,-3184.1312386871978,0.3772075200336526,-3184.0226081922297,0.2977129588985691,29.135933832958926
OCNC3H9OH2,1793,-9918.59311977141,0.8651925363983506,-9918.323128659416,0.6308628951418291,35.66147073707127
C6H12NC2H3,7857,-10036.238839267784,0.9876738696985682,-10037.121281965254,1.8164241623891595,-53.69240477929782
O2C4H10O2C4H10,47712,-16819.342344226065,1.2741569469419636,-16819.234588751635,1.2110484367170107,44.646964206315864
C2H4Br2C2H4,5928,-144373.67688541504,0.6764882889325236,-144373.40012395827,0.38593363847133116,-13.793193698438678
OH2O2C4H8,19380,-10457.971469281714,0.8418674768714295,-10457.855144847812,0.7435808957248664,18.037852756079275
Cl3CHOH2,48678,-40707.970705539214,0.3772075200336526,-40707.937989692706,0.3815108344934073,37.01916096765717
OH2C4NH5,38246,-7804.140810708941,0.6350307278355747,-7803.937103146094,0.4629167581180498,31.593593129154442
NC2H7NC4H11,42098,-9501.875557132844,1.0464513053721185,-9501.434337738328,0.5868739751772138,-18.357935679903736
OH2O2C2H6,49926,-8350.456200905595,0.6350307278355747,-8350.418446465748,0.6050147553297801,7.738467342032207
S2C3H6OC6H6,12831,-33257.70051241566,0.9876738696985683,-33257.31746432711,0.621502449019686,16.876667868842787
O2C4H8SC2H6,26893,-21388.26631152647,0.9805528358412394,-21387.874376872234,0.587280477276562,-1.3377043289202195
OCNCH5OC4H10,21329,-12059.400024191758,0.9876738696985683,-12059.055731228309,0.6544132168452386,11.032310596334582
C6H14OH2,35695,-8535.872145910125,0.9805528358412394,-8535.85184370835,0.9867449075041501,26.49427343915334
OC5H10OH2,8639,-9480.935689224476,0.8676315033269025,-9480.901155076985,0.8409838501381895,7.886494301873825
ClC2H5NC2H7,27976,-18362.42771584549,0.8651925363983506,-18362.06795471885,0.5098582868489012,4.4268770916491285
C6H12SC2H6,3856,-19433.199627791342,1.065294739894874,-19432.829321512087,0.7131897616418337,18.201301002569892
OCNC4H11OH2,46118,-10988.54050418319,0.8917788570528707,-10988.199580236549,0.597910321231345,47.05541081928211
C5H10C5H10,45934,-10702.497388766515,1.231754918120104,-10702.295694801456,1.0391394007553347,9.078447693055658
OC5H10OC2H6,6571,-11621.893691696469,1.0262567709232668,-11621.461537419967,0.608565066747965,14.462572326026324
O3FClN2SC13N4C5SH18,40338,-70976.73624256985,2.0074771147822124,-70977.85577361645,3.14397486155661,16.96670017076185
O3N2S2C11N3C7H21,36033,-54295.71297325706,2.0074771147822124,-54295.281519539625,1.5480129495514265,-28.010447798131555
BrN2OC19H15,30918,-95034.34776273377,1.6846316470837508,-95034.85101439423,2.1731420357780453,-14.741271756082641
O4C15N3C5H21,44431,-33757.622075602645,1.911764449115791,-33758.462380362886,2.7487113894054884,-3.357819954172836
OSBrOC12N2C5H17,18527,-105878.66162970563,1.7216599076617813,-105878.75489106964,1.8330493578835962,18.128086218091035
O2ClO2C16N2C2H15,40547,-42621.34589708643,1.7216599076617813,-42621.94221186867,2.3334493215729415,15.474631671274386
OFN3OC18N3C4H17,50097,-38868.45186515152,1.9117644491157915,-38868.28796399401,1.7652962618067147,17.432970202579057
OClO3C17H23,5804,-38732.08261167361,1.8467082837147477,-38732.81362224209,2.6405243755316827,62.80552334044343
ONOC16N2C2H15,1971,-27489.798582139487,1.6846316470837508,-27491.03861653931,2.92382703484412,-0.839012063823974
O6C6N4C10H20,930,-35178.09567050078,1.8574809032964206,-35177.77459957333,1.5422205467209844,5.810570871942922
FIC12N2C7H24,46573,-33909.55977019362,1.9036972054525976,-33910.487083760185,2.821283241418816,-9.727530595962763
O5C8NC5H13,29486,-25435.737450622117,1.2741569469419638,-25435.413869832242,0.9612557519357161,10.6795948684002
ClN4OC18N2H11,38460,-42374.94390689229,1.6172746111629053,-42375.044973086544,1.7028006902868693,-15.540115135557642
OClOC7N3C10H24,6147,-39126.009080671865,1.9036972054525974,-39126.12627124998,2.024658100200561,3.7703166310096847
O2C2NSC9N3CH8,22533,-33479.15696700871,1.065294739894874,-33479.26360242828,1.172061316753311,0.13115729687029898
OCNC17H27,42546,-22657.08320559966,1.9036972054525976,-22657.27519771245,2.0716620913227044,-24.027226918231335
ON2C7NC6H15,47858,-20254.371897867026,1.2741569469419638,-20254.198348381036,1.106979249691484,6.371788740346274
