Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4102       0.3755       0.0347   268.8
0.2500           0.4091       0.2400       0.1691  1308.0
0.5000           0.4093       0.2170       0.1924  1488.2
0.7500           0.4092       0.2573       0.1519  1175.3
1.0000           0.4093       0.2496       0.1597  1235.5
1.2500           0.4093       0.2709       0.1384  1070.5
1.5000           0.4093       0.2385       0.1708  1321.2
1.7500           0.4091       0.2131       0.1960  1516.5
2.0000           0.4093       0.2471       0.1623  1255.3
2.2500           0.4095       0.2827       0.1267   980.5
2.5000           0.4094       0.2726       0.1367  1057.9
2.7500           0.4093       0.2625       0.1469  1136.2
3.0000           0.4092       0.2509       0.1584  1225.2
3.2500           0.4095       0.2888       0.1208   934.2
3.5000           0.4093       0.2436       0.1657  1281.6
3.7500           0.4092       0.2507       0.1585  1226.0
4.0000           0.4092       0.2502       0.1590  1230.3
4.2500           0.4094       0.2586       0.1508  1166.6
4.5000           0.4092       0.2685       0.1408  1089.0
4.7500           0.4093       0.2566       0.1527  1181.1
5.0000           0.4094       0.2640       0.1453  1124.4
