Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
127.0000         0.4126       0.2697       0.1429  1105.4
128.0000         0.4126       0.2749       0.1377  1065.4
129.0000         0.4126       0.2866       0.1261   975.2
130.0000         0.4126       0.2679       0.1447  1119.6
131.0000         0.4126       0.2782       0.1344  1039.9
132.0000         0.4127       0.2666       0.1461  1130.2
133.0000         0.4127       0.2872       0.1256   971.3
134.0000         0.4126       0.2757       0.1368  1058.7
135.0000         0.4127       0.2720       0.1406  1088.1
136.0000         0.4127       0.2762       0.1365  1056.4
137.0000         0.4127       0.2888       0.1240   959.0
138.0000         0.4128       0.2995       0.1133   876.2
139.0000         0.4126       0.2536       0.1590  1229.7
140.0000         0.4127       0.2593       0.1534  1186.5
141.0000         0.4127       0.2726       0.1401  1083.7
142.0000         0.4127       0.2534       0.1592  1231.9
143.0000         0.4126       0.2698       0.1428  1104.8
144.0000         0.4126       0.2399       0.1728  1336.7
145.0000         0.4127       0.2961       0.1167   902.6
146.0000         0.4126       0.2972       0.1154   892.8
147.0000         0.4124       0.2982       0.1142   883.8
148.0000         0.4123       0.3043       0.1080   835.4
149.0000         0.4128       0.3080       0.1049   811.3
150.0000         0.4129       0.3016       0.1113   860.8
151.0000         0.4127       0.3045       0.1081   836.7
152.0000         0.4125       0.3035       0.1090   843.2
153.0000         0.4123       0.3056       0.1067   825.5
154.0000         0.4122       0.3027       0.1095   847.2
155.0000         0.4123       0.2966       0.1157   894.9
156.0000         0.4129       0.3089       0.1040   804.7
157.0000         0.4126       0.2783       0.1343  1039.1
158.0000         0.4126       0.2910       0.1216   940.8
159.0000         0.4126       0.2833       0.1292   999.8
160.0000         0.4130       0.3040       0.1090   843.3
161.0000         0.4128       0.2875       0.1253   969.1
162.0000         0.4130       0.3002       0.1128   872.6
163.0000         0.4126       0.2617       0.1509  1167.6
164.0000         0.4126       0.2726       0.1400  1082.9
165.0000         0.4127       0.2862       0.1266   979.3
166.0000         0.4125       0.2683       0.1443  1116.0
167.0000         0.4125       0.2819       0.1306  1010.0
168.0000         0.4127       0.2813       0.1314  1016.7
169.0000         0.4126       0.2766       0.1361  1052.6
170.0000         0.4127       0.2942       0.1185   916.8
171.0000         0.4127       0.2934       0.1194   923.4
172.0000         0.4128       0.3098       0.1030   796.8
173.0000         0.4125       0.2455       0.1671  1292.4
174.0000         0.4127       0.3056       0.1071   828.2
175.0000         0.4127       0.3061       0.1066   824.6
176.0000         0.4126       0.2822       0.1303  1008.2
177.0000         0.4127       0.2922       0.1205   932.1
178.0000         0.4123       0.2514       0.1609  1245.1
179.0000         0.4126       0.2750       0.1376  1064.7
180.0000         0.4126       0.2922       0.1204   931.6
181.0000         0.4126       0.2998       0.1128   872.7
182.0000         0.4126       0.2681       0.1445  1117.7
183.0000         0.4127       0.2713       0.1413  1093.5
184.0000         0.4126       0.2956       0.1170   905.5
185.0000         0.4128       0.2972       0.1156   894.2
186.0000         0.4127       0.2838       0.1289   997.4
187.0000         0.4127       0.2735       0.1392  1076.9
188.0000         0.4127       0.2804       0.1322  1023.0
189.0000         0.4127       0.2774       0.1353  1046.7
190.0000         0.4126       0.2745       0.1382  1068.8
191.0000         0.4125       0.2572       0.1553  1201.2
192.0000         0.4125       0.2666       0.1459  1128.8
193.0000         0.4127       0.2686       0.1441  1114.8
194.0000         0.4127       0.2842       0.1286   994.6
195.0000         0.4127       0.2833       0.1294  1000.8
196.0000         0.4126       0.2699       0.1427  1104.0
197.0000         0.4126       0.2910       0.1216   940.4
198.0000         0.4127       0.2926       0.1201   929.0
199.0000         0.4125       0.2679       0.1446  1119.0
200.0000         0.4127       0.2808       0.1319  1020.2
201.0000         0.4127       0.2996       0.1132   875.5
202.0000         0.4127       0.2704       0.1423  1100.9
203.0000         0.4127       0.2729       0.1398  1081.5
204.0000         0.4125       0.2789       0.1337  1034.0
205.0000         0.4127       0.2821       0.1306  1010.7
206.0000         0.4127       0.2684       0.1443  1116.2
207.0000         0.4128       0.2839       0.1289   997.0
208.0000         0.4127       0.2589       0.1537  1189.2
209.0000         0.4128       0.2983       0.1144   885.1
210.0000         0.4127       0.2787       0.1339  1036.3
211.0000         0.4125       0.2547       0.1578  1221.0
212.0000         0.4127       0.2964       0.1163   899.8
213.0000         0.4125       0.2705       0.1421  1099.0
214.0000         0.4127       0.2901       0.1226   948.3
215.0000         0.4127       0.2712       0.1415  1094.9
216.0000         0.4127       0.2825       0.1302  1007.0
217.0000         0.4128       0.2861       0.1267   980.5
218.0000         0.4127       0.2644       0.1482  1146.6
