Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.3820       0.3502       0.0318   246.1
0.7000           0.3730       0.2092       0.1638  1267.2
1.4000           0.3743       0.2307       0.1435  1110.4
2.1000           0.3760       0.2630       0.1130   874.5
2.8000           0.3761       0.2698       0.1062   821.8
3.5000           0.3749       0.2529       0.1219   943.4
4.2000           0.3744       0.2619       0.1126   870.8
4.9000           0.3754       0.2624       0.1130   874.0
5.6000           0.3754       0.2502       0.1251   968.1
6.3000           0.3749       0.2489       0.1260   974.9
7.0000           0.3755       0.2593       0.1163   899.6
7.7000           0.3757       0.2578       0.1179   912.4
8.4000           0.3754       0.2748       0.1006   778.4
9.1000           0.3752       0.2525       0.1227   949.3
9.8000           0.3751       0.2720       0.1031   797.3
10.5000          0.3754       0.2703       0.1050   812.6
11.2000          0.3755       0.2747       0.1008   780.1
11.9000          0.3759       0.2842       0.0916   709.0
12.6000          0.3748       0.2589       0.1159   896.6
13.3000          0.3765       0.2861       0.0905   699.9
14.0000          0.3757       0.2764       0.0993   768.5
