Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4162       0.3755       0.0408   315.3
0.9000           1.4580       0.8485       0.6095  4715.2
1.8000          12.7049       1.1833      11.5215  89134.7
2.7000          15.7928       1.4744      14.3185  110772.9
3.6000          51.8756       1.5315      50.3440  389478.8
4.5000          59.0026       1.8475      57.1552  442172.2
5.4000          88.9911       2.4368      86.5543  669614.2
6.3000          88.2024       2.6265      85.5759  662044.8
7.2000          99.0919       2.5074      96.5845  747211.7
8.1000         120.0241       3.2739     116.7503  903220.7
9.0000         220.3345       3.3767     216.9578  1678461.2
9.9000         233.1991       2.9350     230.2640  1781402.8
10.8000        246.0770       2.9802     243.0968  1880681.6
11.7000       1330.7277       3.3678    1327.3599  10268918.3
12.6000       1452.7793       3.3370    1449.4423  11213390.2
13.5000       1534.9381       3.2501    1531.6880  11849671.1
14.4000       1474.5420       3.2759    1471.2660  11382226.0
15.3000       1746.9565       3.5354    1743.4210  13487711.9
16.2000       1929.4823       3.4857    1925.9965  14900179.4
17.1000       2049.8881       3.5739    2046.3141  15830998.3
18.0000       2004.5040       3.5976    2000.9064  15479708.1
