Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4059       0.3755       0.0304   235.3
0.6500           0.4827       0.2620       0.2207  1707.3
1.3000           1.1845       0.6844       0.5001  3869.0
1.9500           1.2156       0.6228       0.5927  4585.6
2.6000           1.9720       0.9697       1.0023  7754.0
3.2500           3.9698       1.0282       2.9416  22757.5
3.9000           4.9031       1.1949       3.7082  28688.3
4.5500          45.5196       1.2408      44.2788  342556.2
5.2000          86.7700       1.3097      85.4603  661150.8
5.8500          79.8417       1.4080      78.4337  606790.7
6.5000          79.6836       1.6442      78.0394  603739.8
7.1500          76.5972       1.6661      74.9311  579693.0
7.8000         106.4882       1.7398     104.7484  810370.2
8.4500         230.1092       2.0177     228.0915  1764595.4
9.1000         297.0863       2.1689     294.9174  2281583.4
9.7500         263.5839       2.5841     260.9998  2019185.4
10.4000        292.7927       2.5622     290.2305  2245324.5
11.0500        295.0214       2.8901     292.1313  2260029.5
11.7000        303.5698       3.0426     300.5272  2324982.9
12.3500        312.3185       3.2239     309.0946  2391263.3
13.0000        319.1161       3.3772     315.7389  2442665.9
