Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4112       0.3755       0.0358   276.9
0.5500           0.4071       0.1923       0.2148  1661.7
1.1000           0.4072       0.2698       0.1374  1063.3
1.6500           0.4060       0.2521       0.1539  1190.5
2.2000           0.4061       0.2286       0.1775  1373.5
2.7500           0.4066       0.2623       0.1443  1116.2
3.3000           0.4062       0.2588       0.1474  1140.4
3.8500           0.4059       0.2634       0.1425  1102.5
4.4000           0.4060       0.2780       0.1280   990.4
4.9500           0.4056       0.2620       0.1436  1110.7
5.5000           0.4059       0.2719       0.1340  1036.5
6.0500           0.4062       0.2845       0.1217   941.2
6.6000           0.4046       0.2763       0.1283   992.8
7.1500           0.4053       0.2805       0.1248   965.4
7.7000           0.4073       0.3081       0.0992   767.2
8.2500           0.4063       0.2806       0.1256   972.0
8.8000           0.4067       0.2999       0.1068   826.1
9.3500           0.4061       0.2720       0.1342  1037.9
9.9000           0.4064       0.2714       0.1350  1044.3
10.4500          0.4064       0.2844       0.1220   943.8
11.0000          0.4068       0.2978       0.1090   843.3
