Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.4268       0.3755       0.0514   397.4
0.7000           0.4192       0.2719       0.1473  1139.3
1.4000           0.4157       0.2347       0.1810  1400.2
2.1000           0.4302       0.2581       0.1720  1331.0
2.8000           0.9641       0.6318       0.3324  2571.4
3.5000           1.3831       0.7462       0.6369  4927.3
4.2000           4.1771       0.8972       3.2799  25374.3
4.9000           4.0441       1.1790       2.8651  22165.3
5.6000           4.3441       1.1407       3.2035  24783.1
6.3000           5.1390       1.1912       3.9478  30541.5
7.0000           5.1313       1.3360       3.7954  29362.2
7.7000          95.4840       1.8179      93.6660  724633.1
8.4000          68.7222       1.7798      66.9423  517889.0
9.1000          68.0658       1.7986      66.2672  512666.1
9.8000         139.1570       2.1693     136.9877  1059784.8
10.5000        287.0504       2.6265     284.4240  2200402.7
11.2000        418.2442       3.2370     415.0073  3210640.7
11.9000        407.2480       3.0861     404.1619  3126737.1
12.6000        376.6693       3.2948     373.3744  2888554.6
13.3000        351.3501       3.5713     347.7789  2690538.5
14.0000        367.9619       3.5933     364.3686  2818882.3
